,day_stap,repo,time_stap
132,2022-11-10,90,2022-11-10 00:00:00
133,2022-11-11,120,2022-11-11 00:00:00
134,2022-11-12,0,2022-11-12 00:00:00
135,2022-11-13,0,2022-11-13 00:00:00
136,2022-11-14,50,2022-11-14 00:00:00
137,2022-11-15,1720,2022-11-15 00:00:00
138,2022-11-16,710,2022-11-16 00:00:00
139,2022-11-17,1320,2022-11-17 00:00:00
140,2022-11-18,210,2022-11-18 00:00:00
141,2022-11-19,0,2022-11-19 00:00:00
142,2022-11-20,0,2022-11-20 00:00:00
143,2022-11-21,30,2022-11-21 00:00:00
144,2022-11-22,20,2022-11-22 13:43:43
145,2022-11-23,20,2022-11-23 13:31:37
