,day_stap,repo,time_stap
144,2022/11/22,20,2022/11/22 13:43
145,2022/11/23,20,2022/11/23 13:31
146,2022/11/24,80,2022/11/24 13:31
147,2022/11/25,80,2022/11/25 9:26
148,2022/11/26,0,2022/11/26 0:00
149,2022/11/27,0,2022/11/27 0:00
150,2022/11/28,550,2022/11/28 9:52
151,2022/11/29,800,2022/11/29 14:11
152,2022/11/30,1700,2022/11/30 9:23
153,2022/12/1,100,2022/12/1 9:59
154,2022/12/2,20,2022/12/2 9:30
155,2022/12/3,0,2022/12/3 0:00
156,2022/12/4,0,2022/12/4 0:00
157,2022/12/5,20,2022/12/5 0:00
158,2022/12/6,20,2022/12/6 10:08
159,2022/12/7,20,2022/12/7 9:24
160,2022/12/8,20,2022/12/8 9:23
161,2022/12/9,20,2022/12/9 9:33
162,2022/12/10,0,2022/12/10 0:00
163,2022/12/11,0,2022/12/11 0:00
164,2022/12/12,20,2022/12/12 9:25
165,2022/12/13,20,2022/12/13 9:24
166,2022/12/14,20,2022/12/14 9:29
167,2022/12/15,20,2022/12/15 9:28
168,2022/12/16,410,2022/12/16 9:27
169,2022/12/17,0,2022/12/17 0:00
170,2022/12/18,0,2022/12/18 0:00
171,2022/12/19,90,2022/12/19 9:28
172,2022/12/20,50,2022/12/20 9:28
173,2022/12/21,190,2022/12/21 9:28
174,2022/12/22,40,2022/12/22 9:28
175,2022/12/23,20,2022/12/23 9:28
176,2022/12/24,0,2022/12/24 9:28
177,2022/12/25,0,2022/12/25 9:28
178,2022/12/26,1730,2022/12/26 9:28
179,2022/12/27,1940,2022/12/27 9:28
180,2022/12/28,1890,2022/12/28 9:28
181,2022/12/29,2050,2022/12/29 9:27
182,2022/12/30,1830,2022/12/30 9:23
183,2022/12/31,0,2022/12/31 9:23
184,2023/1/1,0,2023/1/1 9:23
185,2023/1/2,0,2023/1/2 9:23
186,2023/1/3,500,2023/1/3 9:41
187,2023/1/4,30,2023/1/4 9:48
188,2023/1/5,20,2023/1/5 9:30
189,2023/1/6,20,2023/1/6 9:29
190,2023/1/7,0,2023/1/7 0:00
191,2023/1/8,0,2023/1/8 0:00
192,2023/1/9,20,2023/1/9 9:53
193,2023/1/10,20,2023/1/10 9:28
194,2023/1/11,650,2023/1/11 9:28
195,2023/1/12,650,2023/1/12 9:25
196,2023/1/13,550,2023/1/13 9:23
197,2023/1/14,0,2023/1/14 0:00
198,2023/1/15,0,2023/1/15 0:00
199,2023/1/16,820,2023/1/16 9:26
200,2023/1/17,2050,2023/1/17 9:28
201,2023/1/18,1330,2023/1/18 9:26
202,2023/1/19,650,2023/1/19 9:25
203,2023/1/20,620,2023/1/20 9:24
204,2023/1/28,2220,2023/1/28 9:24
205,2023/1/29,1280,2023/1/29 9:24
206,2023/1/30,1730,2023/1/30 9:24
